family,n,window,side,multiplier,r_squared,residual,points,bulk_multiplier,distance_from_bulk,noise_floor
G10,254,3-12,right,0.2591552246428277,0.9999976812815893,0.00034880408276146893,10,0.2585020646331717,0.0006531600096559842,1.6671522333721857e-07
G10,510,2-8,left,0.2563329071127736,0.9932624079083392,0.3519593968414051,7,0.2585020646331717,0.0021691575203980906,1.1456902199834817e-10
G10,510,2-8,right,0.2609899605055455,0.9999813741311804,0.0009410472932099191,7,0.2585020646331717,0.002487895872373802,1.1456902199834817e-10
G10,510,2-10,left,0.25983910741241956,0.9966915523037791,0.3617399469489249,9,0.2585020646331717,0.0013370427792478434,1.1456902199834817e-10
G10,510,2-10,right,0.2601838386424778,0.9999866656336357,0.001450294597883081,9,0.2585020646331717,0.0016817740093060807,1.1456902199834817e-10
G10,510,2-12,left,0.26060804118355274,0.998178691974903,0.3629468156415634,11,0.2585020646331717,0.002105976550381028,1.1456902199834817e-10
G10,510,2-12,right,0.2597101502702381,0.9999905435111767,0.0018907247693304584,11,0.2585020646331717,0.0012080856370663695,1.1456902199834817e-10
G10,510,3-10,left,0.27288737608486874,0.9996380733613905,0.025647328284434105,8,0.2585020646331717,0.014385311451697025,1.1456902199834817e-10
G10,510,3-10,right,0.25942193215085235,0.9999967796612361,0.00024624586277622093,8,0.2585020646331717,0.0009198675176806392,1.1456902199834817e-10
G10,510,3-12,left,0.2688218407180825,0.9996828147713673,0.045175328715065514,10,0.2585020646331717,0.010319776084910803,1.1456902199834817e-10
G10,510,3-12,right,0.2591481540584085,0.9999977258756538,0.0003421096206950341,10,0.2585020646331717,0.0006460894252368066,1.1456902199834817e-10
G10,1022,2-8,left,0.26646817546127605,0.9998362048264542,0.008022725556716131,7,0.2585020646331717,0.007966110828104334,8.51088462366608e-11
G10,1022,2-8,right,0.26104531453065366,0.9999805305910002,0.0009833563012146647,7,0.2585020646331717,0.0025432498974819473,8.51088462366608e-11
G10,1022,2-10,left,0.26456675597429624,0.9998978470020081,0.010837498135207537,9,0.2585020646331717,0.0060646913411245285,8.51088462366608e-11
G10,1022,2-10,right,0.26022155782623396,0.999986068532934,0.0015149120970613626,9,0.2585020646331717,0.0017194931930622492,8.51088462366608e-11
G10,1022,2-12,left,0.26311394152546974,0.9999240249695712,0.014899389089689715,11,0.2585020646331717,0.004611876892298028,8.51088462366608e-11
G10,1022,2-12,right,0.2597362118200572,0.9999901085454083,0.001977398045401448,11,0.2585020646331717,0.0012341471868854703,8.51088462366608e-11
G10,1022,3-10,left,0.265337338756037,0.9998694465219671,0.009653277321872855,8,0.2585020646331717,0.006835274122865276,8.51088462366608e-11
