period,separation,normalized_separation,q_bits,primitive_q_period,primitive_tau_period,repeated_target,R_squared_estimate,gap_from_eta,gap_from_8,certificate_status,first_positive_moment
34,15,0.4411764705882353,1000000000000001000000000000000000,34,34,False,8.335813580372168,0.5315875151915535,0.335813580372168,CERTIFIED_R_GT_ETA,
34,16,0.47058823529411764,1000000000000000100000000000000000,34,34,False,8.219915897013179,0.41568983183256414,0.2199158970131787,CERTIFIED_R_GT_ETA,
34,17,0.5,1000000000000000010000000000000000,17,17,False,8.33428021117673,0.5300541459961146,0.3342802111767291,CERTIFIED_R_GT_ETA,
36,1,0.027777777777777776,110000000000000000000000000000000000,36,36,False,9.47273418777487,1.6685081225942557,1.4727341877748703,CERTIFIED_R_GT_ETA,6
36,2,0.05555555555555555,101000000000000000000000000000000000,36,36,False,8.353841202423006,0.549615137242391,0.35384120242300554,CERTIFIED_R_GT_ETA,
36,3,0.08333333333333333,100100000000000000000000000000000000,36,36,False,8.255233923554515,0.45100785837390056,0.25523392355451513,CERTIFIED_R_GT_ETA,
36,4,0.1111111111111111,100010000000000000000000000000000000,36,36,False,8.0503712025022,0.2461451373215855,0.05037120250220006,CERTIFIED_R_GT_ETA,
36,5,0.1388888888888889,100001000000000000000000000000000000,36,36,False,8.532317277531233,0.728091212350618,0.5323172775312326,CERTIFIED_R_GT_ETA,
36,6,0.16666666666666666,100000100000000000000000000000000000,36,36,False,8.178811423241712,0.37458535806109694,0.1788114232417115,CERTIFIED_R_GT_ETA,
36,7,0.19444444444444445,100000010000000000000000000000000000,36,36,False,8.375854272163124,0.5716282069825098,0.3758542721631244,CERTIFIED_R_GT_ETA,
36,8,0.2222222222222222,100000001000000000000000000000000000,36,36,False,8.177267422646707,0.3730413574660929,0.17726742264670747,CERTIFIED_R_GT_ETA,
36,9,0.25,100000000100000000000000000000000000,36,36,False,8.38277052879791,0.5785444636172947,0.3827705287979093,CERTIFIED_R_GT_ETA,
36,10,0.2777777777777778,100000000010000000000000000000000000,36,36,False,8.203592674683442,0.39936660950282743,0.203592674683442,CERTIFIED_R_GT_ETA,
36,11,0.3055555555555556,100000000001000000000000000000000000,36,36,False,8.348139352172824,0.5439132869922094,0.348139352172824,CERTIFIED_R_GT_ETA,
36,12,0.3333333333333333,100000000000100000000000000000000000,36,36,False,8.211131720338718,0.40690565515810384,0.2111317203387184,CERTIFIED_R_GT_ETA,
36,13,0.3611111111111111,100000000000010000000000000000000000,36,36,False,8.338344462002178,0.5341183968215635,0.33834446200217805,CERTIFIED_R_GT_ETA,
36,14,0.3888888888888889,100000000000001000000000000000000000,36,36,False,8.218089286981547,0.4138632218009324,0.21808928698154695,CERTIFIED_R_GT_ETA,
