route,family,n,orientation,cut_shift_bulk_cells,finite_ring_R_squared,difference_from_reference,Evans_constant,evidence_status,transfer_cut_margin,Evans_root_squared,stable_multiplier_moduli,precision_digits
finite_ring_dense_sparse,G10,254,forward,2,7.977104370400546,0.0,7.97710437040054651536282158321569313157242874229971217071861824688286700159831442416121183282171744889019159641587526640972192130937069888458278880406858290322738685446015833518674069652411556769153154683857963,DENSE_SPARSE_AND_EVANS_CROSSCHECK,,,,
finite_ring_dense_sparse,G10,254,forward,3,7.977104370400546,0.0,7.97710437040054651536282158321569313157242874229971217071861824688286700159831442416121183282171744889019159641587526640972192130937069888458278880406858290322738685446015833518674069652411556769153154683857963,DENSE_SPARSE_AND_EVANS_CROSSCHECK,,,,
finite_ring_dense_sparse,G10,254,reverse,0,7.977104370400546,0.0,7.97710437040054651536282158321569313157242874229971217071861824688286700159831442416121183282171744889019159641587526640972192130937069888458278880406858290322738685446015833518674069652411556769153154683857963,DENSE_SPARSE_AND_EVANS_CROSSCHECK,,,,
finite_ring_dense_sparse,G10,254,reverse,1,7.977104370400546,0.0,7.97710437040054651536282158321569313157242874229971217071861824688286700159831442416121183282171744889019159641587526640972192130937069888458278880406858290322738685446015833518674069652411556769153154683857963,DENSE_SPARSE_AND_EVANS_CROSSCHECK,,,,
finite_ring_dense_sparse,G10,254,reverse,2,7.977104370400546,0.0,7.97710437040054651536282158321569313157242874229971217071861824688286700159831442416121183282171744889019159641587526640972192130937069888458278880406858290322738685446015833518674069652411556769153154683857963,DENSE_SPARSE_AND_EVANS_CROSSCHECK,,,,
finite_ring_dense_sparse,G10,254,reverse,3,7.977104370400546,0.0,7.97710437040054651536282158321569313157242874229971217071861824688286700159831442416121183282171744889019159641587526640972192130937069888458278880406858290322738685446015833518674069652411556769153154683857963,DENSE_SPARSE_AND_EVANS_CROSSCHECK,,,,
infinite_evans_right_match,G6,,,,,2.1536497072545623493e-111,7.90536931162032701197627927980427398748634897435095307657228078569266921671007864162074782247881828267387081039866136101670038968120158998084957272613921381060505108250546930391235989038842461605938382657529541,HIGH_PRECISION_EVANS_CUT_INVARIANCE,8,7.90536931162032701197627927980427398748634897435095307657228078569266921671007864162074782,"[""0.35050611613292244236755690715869233966209210532213634570596076972256396480636591"",""0.12227903914275664559493821795299750820211806608462297752036807935979358465861148""]",110
infinite_evans_right_match,G6,,,,,2.1536497072545623493e-111,7.90536931162032701197627927980427398748634897435095307657228078569266921671007864162074782247881828267387081039866136101670038968120158998084957272613921381060505108250546930391235989038842461605938382657529541,HIGH_PRECISION_EVANS_CUT_INVARIANCE,16,7.90536931162032701197627927980427398748634897435095307657228078569266921671007864162074782,"[""0.35050611613292244236755690715869233966209210532213634570596076972256396480636591"",""0.12227903914275664559493821795299750820211806608462297752036807935979358465861148""]",110
infinite_evans_right_match,G6,,,,,2.1536497072545623493e-111,7.90536931162032701197627927980427398748634897435095307657228078569266921671007864162074782247881828267387081039866136101670038968120158998084957272613921381060505108250546930391235989038842461605938382657529541,HIGH_PRECISION_EVANS_CUT_INVARIANCE,24,7.90536931162032701197627927980427398748634897435095307657228078569266921671007864162074782,"[""0.35050611613292244236755690715869233966209210532213634570596076972256396480636591"",""0.12227903914275664559493821795299750820211806608462297752036807935979358465861148""]",110
infinite_evans_right_match,G6,,,,,2.1536497072545623493e-111,7.90536931162032701197627927980427398748634897435095307657228078569266921671007864162074782247881828267387081039866136101670038968120158998084957272613921381060505108250546930391235989038842461605938382657529541,HIGH_PRECISION_EVANS_CUT_INVARIANCE,32,7.90536931162032701197627927980427398748634897435095307657228078569266921671007864162074782,"[""0.35050611613292244236755690715869233966209210532213634570596076972256396480636591"",""0.12227903914275664559493821795299750820211806608462297752036807935979358465861148""]",110
