n,residue_mod_16,alpha,separation_index,arc_vertices,complement_vertices,arc_bulk_cells,lambda_1,lambda_2,lambda_1_squared,lambda_2_squared,rho_squared,mean_interface_level_squared,level_splitting_squared,mean_gap_from_c6
76,12,1,3,18,58,3,2.8133666147815473,2.8090223353141504,7.9150317091673825,7.890606480293763,7.915031709167385,7.902819094730573,0.02442522887361953,-0.002550216889754431
76,12,-1,4,22,54,4,2.8117463156590947,2.8115039810708518,7.905917343622494,7.904554635577249,7.925627417062888,7.905235989599872,0.0013627080452449647,-0.00013332202045557295
76,12,1,4,22,54,4,2.811873076418679,2.8113672295879155,7.906630197888245,7.9037856996008315,7.925684350625551,7.905207948744538,0.0028444982874136215,-0.00016136287578927266
76,12,-1,5,26,50,5,2.8123967596738035,2.8107609290185716,7.90957553382371,7.900377000097343,7.90957553382371,7.904976266960526,0.009198533726366698,-0.0003930446598010562
76,12,1,5,26,50,5,2.812467222526956,2.8106691412522826,7.9099718777884895,7.899861021587844,7.9099718777884895,7.904916449688167,0.010110856200645557,-0.000452861932160431
76,12,-1,6,30,46,6,2.8116810234723286,2.8116078385079915,7.905550177754401,7.905138637559579,7.912947297715385,7.90534440765699,0.0004115401948219244,-2.490396333687528e-05
76,12,1,6,30,46,6,2.811972528045442,2.8112979108218563,7.907189498482274,7.903395943391334,7.913162948456622,7.905292720936804,0.0037935550909402593,-7.659068352339204e-05
76,12,-1,7,34,42,7,2.8118425010915837,2.811437980877076,7.906458250944973,7.904183520318171,7.906458250944978,7.905320885631572,0.002274730626801613,-4.842598875498538e-05
76,12,1,7,34,42,7,2.8120568750043327,2.8112022119867968,7.907663868259133,7.902857876679459,7.907663868259135,7.905260872469296,0.00480599157967454,-0.00010843915103109225
76,12,-1,8,38,38,8,2.812094988941346,2.81115501381268,7.907878226829028,7.90259251168417,7.907878226829028,7.905235369256599,0.005285715144857761,-0.00013394236372832324
76,12,1,8,38,38,8,2.8122116904171883,2.8110172528230333,7.9085345917191,7.901817995668753,7.9085345917191,7.905176293693927,0.006716596050346801,-0.00019301792640025184
84,4,-1,0,6,78,0,2.8309966211172317,2.7925172333585735,8.014541868777183,7.798152498604622,8.062095235552713,7.906347183690903,0.21638937017256143,0.0009778720705755362
84,4,1,0,6,78,0,2.830996402477001,2.7938667206480132,8.014540630837722,7.8056912527444835,8.062095334932659,7.910115941791103,0.20884937809323834,0.004746630170775923
84,4,-1,1,10,74,1,2.812855244749635,2.8042799861724528,7.9121546279155295,7.863986240847372,7.9121546279155295,7.888070434381451,0.048168387068157514,-0.017298877238876464
84,4,1,1,10,74,1,2.8128577522585667,2.804263550194493,7.912168734441116,7.863894058949421,7.912168734441116,7.888031396695268,0.04827467549169562,-0.01733791492505876
84,4,-1,2,14,70,2,2.8129677666584403,2.81004812409942,7.912787656259374,7.89637045975467,7.959133348410805,7.904579058007021,0.016417196504703746,-0.000790253613305758
84,4,1,2,14,70,2,2.8129547505993875,2.8100696153141813,7.912714428919663,7.896491242911991,7.959135992452473,7.904602835915827,0.016223186007671586,-0.0007664757045002801
84,4,-1,3,18,66,3,2.81335221119062,2.8090523865413894,7.914950664211152,7.890775310333876,7.914950664211152,7.902862987272513,0.02417535387727643,-0.0025063243478138375
